landing_page_id,origin
262,8
0,6
321,3
407,2
345,3
61,3
209,2
410,2
331,3
262,8
468,9
94,6
75,7
228,3
46,3
360,6
356,9
48,3
61,0
321,3
115,6
389,3
321,9
61,3
61,1
345,3
460,7
417,3
61,8
78,8
35,1
61,6
321,3
159,8
2,6
443,7
468,1
356,9
468,3
61,6
61,7
416,6
455,0
468,3
147,3
463,9
159,8
61,0
356,3
62,6
316,2
482,6
356,3
465,3
258,8
356,9
372,8
262,8
315,0
56,9
159,8
394,0
199,6
480,5
262,8
394,3
223,3
308,9
61,3
228,4
382,4
77,3
262,8
262,8
356,9
258,8
61,6
87,2
115,6
122,3
61,7
356,9
443,0
356,9
122,6
356,9
356,9
380,6
39,1
0,6
0,6
394,3
443,3
122,7
199,0
394,3
394,3
321,1
159,8
356,9
61,3
199,6
443,3
468,5
482,9
443,3
468,3
78,8
297,3
122,6
0,6
262,8
468,3
266,2
1,9
256,6
122,6
187,2
61,3
171,1
39,3
61,8
159,8
61,9
356,9
62,6
39,9
61,7
171,1
262,8
159,8
443,4
356,6
354,6
356,9
258,8
206,9
419,1
159,8
229,8
307,6
173,2
339,2
78,8
389,0
489,2
199,6
61,0
61,3
122,6
159,8
260,8
381,0
262,8
394,3
61,0
421,2
159,8
489,2
375,8
356,8
356,9
61,3
62,0
99,3
122,6
77,0
77,7
475,3
320,8
61,0
61,1
315,6
258,8
399,6
62,6
61,3
136,6
262,8
95,9
307,6
53,2
443,7
227,6
80,2
486,6
228,0
356,9
426,3
147,3
61,3
442,2
46,6
262,8
61,0
485,2
91,6
37,7
443,3
262,8
176,6
159,8
61,0
35,3
159,8
443,1
61,3
159,8
394,3
61,3
381,9
411,9
394,3
78,8
61,3
262,8
61,6
23,8
61,9
75,7
356,9
35,4
290,7
159,9
61,8
61,3
39,6
356,3
394,3
361,4
61,3
159,8
443,4
489,2
61,3
122,3
78,8
195,8
356,9
122,3
115,9
356,9
262,8
61,6
159,8
262,8
205,9
262,8
0,6
410,2
443,6
394,3
356,3
247,6
14,6
61,3
159,8
356,9
262,8
159,8
61,3
61,6
192,9
252,0
61,0
