landing_page_id,origin,mql_id
007f9098284a86ee80ddeb25d53e0af8,direct_traffic,1
007f9098284a86ee80ddeb25d53e0af8,display,2
007f9098284a86ee80ddeb25d53e0af8,organic_search,16
007f9098284a86ee80ddeb25d53e0af8,other,1
007f9098284a86ee80ddeb25d53e0af8,paid_search,44
007f9098284a86ee80ddeb25d53e0af8,referral,1
007f9098284a86ee80ddeb25d53e0af8,unknown,1
01850876d34b43494b5f9879c366877b,unknown,1
0218f6be0b76aca72ab4d00ee9e8cf10,direct_traffic,5
0218f6be0b76aca72ab4d00ee9e8cf10,display,1
0218f6be0b76aca72ab4d00ee9e8cf10,organic_search,20
0218f6be0b76aca72ab4d00ee9e8cf10,paid_search,13
0218f6be0b76aca72ab4d00ee9e8cf10,referral,4
0218f6be0b76aca72ab4d00ee9e8cf10,social,1
0218f6be0b76aca72ab4d00ee9e8cf10,unknown,4
03c7c0ace395d80182db07ae2c30f034,organic_search,1
04a75b75d5f4f3a16b0178fbe382da00,unknown,1
061c3918f72d289ee93d5d8a06c15c2e,organic_search,2
061c3918f72d289ee93d5d8a06c15c2e,paid_search,1
0625ca637bf063abf254a66fe91fa84b,organic_search,2
0625ca637bf063abf254a66fe91fa84b,referral,1
081b0e629b3899db213a23bc4e58a17d,social,1
08940bbad6e96fc4e620f2d9a00b1db4,organic_search,2
090ffa1062e6dde353c36524563acefc,organic_search,3
09949e05e2c5fa4ba780fe27213bc575,display,3
09949e05e2c5fa4ba780fe27213bc575,organic_search,1
09949e05e2c5fa4ba780fe27213bc575,referral,1
099ddda4feb08e89c402f2d38ca94b2e,unknown,1
0a252e869424c89cf3608e07399b61f6,unknown,1
0a946f83fbafa9ebf3d1c1083a6d865b,direct_traffic,1
0b353d6bc27566f1d238313c33d95f56,organic_search,3
0b353d6bc27566f1d238313c33d95f56,paid_search,4
0b37d43dbde6452cdd94c17bf61a88e4,direct_traffic,7
0b37d43dbde6452cdd94c17bf61a88e4,email,1
0b37d43dbde6452cdd94c17bf61a88e4,organic_search,15
0b37d43dbde6452cdd94c17bf61a88e4,paid_search,3
0b37d43dbde6452cdd94c17bf61a88e4,referral,1
0b9430edcbf2d9a95148c806af2b6699,organic_search,4
0b9430edcbf2d9a95148c806af2b6699,paid_search,3
0b9430edcbf2d9a95148c806af2b6699,referral,1
0b9430edcbf2d9a95148c806af2b6699,unknown,1
0c83f57c786a0b4a39efab23731c7ebc,unknown,4
0d43fc5a5096c416d3b7b492564293da,organic_search,4
0d5837d82188e547040314b5db344a0c,unknown,1
0d6bc3c00e4e64927cae2e8d9c6a0b9b,paid_search,3
0e5a178e3cd2368607f3e72f46140476,direct_traffic,2
0e5a178e3cd2368607f3e72f46140476,email,12
0e5a178e3cd2368607f3e72f46140476,organic_search,2
0e5a178e3cd2368607f3e72f46140476,unknown,5
0edc241702f5e6c046cbdbc4b5ef6a13,organic_search,1
0f25be78376bbbaba8553051e980b83c,direct_traffic,1
0f25be78376bbbaba8553051e980b83c,organic_search,5
0f25be78376bbbaba8553051e980b83c,paid_search,5
0f25be78376bbbaba8553051e980b83c,referral,1
0f25be78376bbbaba8553051e980b83c,social,1
0f7f8ed9a1db8fc2a42e273972db10d4,display,1
0f7f8ed9a1db8fc2a42e273972db10d4,organic_search,1
0f7f8ed9a1db8fc2a42e273972db10d4,paid_search,7
10f5ac17ed7d6ee9a7d737ac1d2fcb32,email,2
111313f5b9ceedf17ab5af7317a9f9bc,direct_traffic,1
111313f5b9ceedf17ab5af7317a9f9bc,email,1
